child_table,fk_column,parent_table,parent_column,on_delete
task,org_id,org,id,NO ACTION
task,work_item_id,work_item,id,NO ACTION
user_account,org_id,org,id,NO ACTION
user_account,party_id,party,id,NO ACTION
user_role,org_id,org,id,NO ACTION
user_role,role_id,role,id,NO ACTION
user_role,user_id,user_account,id,NO ACTION
work_item,ai_capture_id,ai_capture,id,NO ACTION
work_item,assigner_user_id,user_account,id,NO ACTION
work_item,assignment_type_ref_id,ref_entity,id,NO ACTION
work_item,brief_file_id,file_object,id,NO ACTION
work_item,client_account_id,client_account,id,NO ACTION
work_item,course_ref_id,ref_entity,id,NO ACTION
work_item,doer_party_id,party,id,NO ACTION
work_item,import_batch_id,import_batch,id,NO ACTION
work_item,milestone_id,milestone,id,NO ACTION
work_item,org_id,org,id,NO ACTION
work_item,project_id,project,id,NO ACTION
work_item,source_party_id,party,id,NO ACTION
work_line,consumer_party_id,party,id,NO ACTION
work_line,org_id,org,id,NO ACTION
work_line,source_line_id,work_line,id,NO ACTION
work_line,work_item_id,work_item,id,NO ACTION
work_line,writer_party_id,party,id,NO ACTION
work_outcome,org_id,org,id,NO ACTION
work_outcome,work_item_id,work_item,id,NO ACTION
